Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,PM25,NO2
1/1/23,122,PM2.5,Austin Webberville Rd,48-453-0021,AQS,.,35,122,.
1/2/23,72,PM2.5,Austin North Hills Drive,48-453-0014,AQS,.,29,72,.
1/3/23,49,PM2.5,Austin North Interstate 35,48-453-1068,AQS,.,39,49,.
1/4/23,41,Ozone,Austin North Hills Drive,48-453-0014,AQS,.,41,26,.
1/5/23,33,PM2.5,Austin North Interstate 35,48-453-1068,AQS,.,32,33,.
1/6/23,47,PM2.5,Austin North Interstate 35,48-453-1068,AQS,.,45,47,.
1/7/23,33,PM2.5,Austin Webberville Rd,48-453-0021,AQS,.,30,33,.
1/8/23,41,Ozone,Austin North Hills Drive,48-453-0014,AQS,.,41,32,.
1/9/23,49,PM2.5,Austin Webberville Rd,48-453-0021,AQS,.,44,49,.
1/10/23,45,PM2.5,Austin North Interstate 35,48-453-1068,AQS,.,44,45,.
1/11/23,59,PM2.5,Austin North Interstate 35,48-453-1068,AQS,.,34,59,.
1/12/23,40,Ozone,Austin North Hills Drive,48-453-0014,AQS,.,40,13,.
1/13/23,39,Ozone,Austin North Hills Drive,48-453-0014,AQS,.,39,37,.
1/14/23,50,PM2.5,Austin Webberville Rd,48-453-0021,AQS,.,44,50,.
1/15/23,44,Ozone,Austin North Hills Drive,48-453-0014,AQS,.,44,31,.
1/16/23,47,PM2.5,Austin Webberville Rd,48-453-0021,AQS,.,38,47,.
1/17/23,64,PM2.5,Austin Webberville Rd,48-453-0021,AQS,.,40,64,.
1/18/23,44,Ozone,Austin North Hills Drive,48-453-0014,AQS,.,44,41,.
1/19/23,35,Ozone,Austin North Hills Drive,48-453-0014,AQS,.,35,17,.
1/20/23,28,Ozone,Austin North Hills Drive,48-453-0014,AQS,.,28,19,.
1/21/23,49,PM2.5,Austin Webberville Rd,48-453-0021,AQS,.,28,49,.
1/22/23,38,Ozone,Austin North Hills Drive,48-453-0014,AQS,.,38,25,.
1/23/23,48,PM2.5,Austin North Interstate 35,48-453-1068,AQS,.,41,48,.
1/24/23,29,Ozone,Austin North Hills Drive,48-453-0014,AQS,.,29,22,.
1/25/23,35,Ozone,Austin North Hills Drive,48-453-0014,AQS,3,35,15,.
1/26/23,38,Ozone,Austin North Hills Drive,48-453-0014,AQS,7,38,33,.
1/27/23,56,PM2.5,Austin Webberville Rd,48-453-0021,AQS,9,32,56,.
1/28/23,58,PM2.5,Austin North Interstate 35,48-453-1068,AQS,8,24,58,.
1/29/23,32,PM2.5,Austin North Interstate 35,48-453-1068,AQS,7,19,32,.
1/30/23,30,PM2.5,Austin North Hills Drive,48-453-0014,AQS,2,15,30,.
1/31/23,24,PM2.5,Austin North Hills Drive,48-453-0014,AQS,2,19,24,.
