Date,AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO AQI Value,Ozone AQI Value,PM2.5 AQI Value,NO2 AQI Value
1/1/23,35,PM2.5,Millbrook School,37-183-0014,AQS,5,23,35,16
1/2/23,52,PM2.5,Millbrook School,37-183-0014,AQS,6,11,52,10
1/3/23,44,PM2.5,Millbrook School,37-183-0014,AQS,5,28,44,15
1/4/23,25,PM2.5,West Johnston Co.,37-101-0002,AQS,3,24,25,14
1/5/23,22,PM2.5,Millbrook School,37-183-0014,AQS,3,.,22,18
1/6/23,34,Ozone,Millbrook School,37-183-0014,AQS,5,34,17,31
1/7/23,37,PM2.5,Millbrook School,37-183-0014,AQS,8,22,37,28
1/8/23,54,PM2.5,Millbrook School,37-183-0014,AQS,10,17,54,19
1/9/23,34,PM2.5,Millbrook School,37-183-0014,AQS,6,31,34,26
1/10/23,45,PM2.5,Millbrook School,37-183-0014,AQS,9,26,45,24
1/11/23,52,PM2.5,Millbrook School,37-183-0014,AQS,5,33,52,22
1/12/23,40,PM2.5,Millbrook School,37-183-0014,AQS,5,35,40,25
1/13/23,33,Ozone,Millbrook School,37-183-0014,AQS,3,33,9,12
1/14/23,31,Ozone,Millbrook School,37-183-0014,AQS,2,31,10,4
1/15/23,35,Ozone,Millbrook School,37-183-0014,AQS,5,35,21,31
1/16/23,39,PM2.5,West Johnston Co.,37-101-0002,AQS,8,28,39,28
1/17/23,55,PM2.5,Millbrook School,37-183-0014,AQS,5,21,55,27
1/18/23,46,PM2.5,Millbrook School,37-183-0014,AQS,7,25,46,24
1/19/23,52,PM2.5,West Johnston Co.,37-101-0002,AQS,7,33,52,19
1/20/23,31,Ozone,Millbrook School,37-183-0014,AQS,3,31,16,24
1/21/23,29,Ozone,Millbrook School,37-183-0014,AQS,5,29,23,26
1/22/23,27,PM2.5,Millbrook School,37-183-0014,AQS,6,19,27,18
1/23/23,31,Ozone,Millbrook School,37-183-0014,AQS,5,31,13,11
1/24/23,34,NO2,Millbrook School,37-183-0014,AQS,7,30,26,34
1/25/23,33,PM2.5,Millbrook School,37-183-0014,AQS,8,31,33,24
1/26/23,34,Ozone,Millbrook School,37-183-0014,AQS,5,34,15,21
1/27/23,33,Ozone,Millbrook School,37-183-0014,AQS,6,33,26,33
1/28/23,35,Ozone,Millbrook School,37-183-0014,AQS,7,35,31,27
1/29/23,42,PM2.5,Millbrook School,37-183-0014,AQS,7,37,42,20
1/30/23,41,PM2.5,Millbrook School,37-183-0014,AQS,6,24,41,21
1/31/23,41,PM2.5,Millbrook School,37-183-0014,AQS,6,15,41,15
2/1/23,19,Ozone,Millbrook School,37-183-0014,AQS,5,19,13,7
2/2/23,43,PM2.5,Millbrook School,37-183-0014,AQS,5,19,43,18
2/3/23,36,Ozone,Millbrook School,37-183-0014,AQS,5,36,23,15
2/4/23,34,Ozone,Millbrook School,37-183-0014,AQS,5,34,23,19
2/5/23,34,PM2.5,West Johnston Co.,37-101-0002,AQS,5,27,34,20
2/6/23,39,Ozone,Millbrook School,37-183-0014,AQS,6,39,26,33
2/7/23,51,PM2.5,Millbrook School,37-183-0014,AQS,6,35,51,25
2/8/23,53,PM2.5,Millbrook School,37-183-0014,AQS,10,44,53,39
2/9/23,56,PM2.5,Millbrook School,37-183-0014,AQS,11,36,56,29
2/10/23,39,Ozone,Millbrook School,37-183-0014,AQS,5,39,30,14
2/11/23,36,Ozone,Millbrook School,37-183-0014,AQS,2,36,18,5
2/12/23,33,Ozone,Millbrook School,37-183-0014,AQS,2,33,13,5
2/13/23,38,Ozone,Millbrook School,37-183-0014,AQS,7,38,15,35
2/14/23,44,Ozone,Millbrook School,37-183-0014,AQS,8,44,26,28
2/15/23,48,Ozone,Millbrook School,37-183-0014,AQS,6,48,45,26
2/16/23,55,PM2.5,Millbrook School,37-183-0014,AQS,5,42,55,23
2/17/23,27,Ozone,Millbrook School,37-183-0014,AQS,5,27,23,9
2/18/23,35,Ozone,Millbrook School,37-183-0014,AQS,5,35,21,23
2/19/23,34,PM2.5,Millbrook School,37-183-0014,AQS,5,34,34,22
2/20/23,46,PM2.5,Millbrook School,37-183-0014,AQS,6,24,46,24
2/21/23,53,PM2.5,Millbrook School,37-183-0014,AQS,6,40,53,30
2/22/23,56,PM2.5,Millbrook School,37-183-0014,AQS,7,26,56,25
2/23/23,49,PM2.5,West Johnston Co.,37-101-0002,AQS,5,31,49,18
2/24/23,42,Ozone,Millbrook School,37-183-0014,AQS,5,42,32,13
2/25/23,32,Ozone,Millbrook School,37-183-0014,AQS,3,32,23,12
2/26/23,36,PM2.5,Millbrook School,37-183-0014,AQS,5,21,36,11
2/27/23,41,PM2.5,West Johnston Co.,37-101-0002,AQS,5,30,41,16
2/28/23,42,Ozone,Millbrook School,37-183-0014,AQS,6,42,35,34
3/1/23,43,PM2.5,Millbrook School,37-183-0014,AQS,6,37,43,23
3/2/23,57,PM2.5,West Johnston Co.,37-101-0002,AQS,6,28,57,20
3/3/23,53,PM2.5,West Johnston Co.,37-101-0002,AQS,6,38,53,12
3/4/23,44,Ozone,West Johnston Co.,37-101-0002,AQS,3,44,15,10
3/5/23,45,Ozone,West Johnston Co.,37-101-0002,AQS,5,45,24,25
3/6/23,48,PM2.5,Millbrook School,37-183-0014,AQS,6,44,48,29
3/7/23,54,Ozone,West Johnston Co.,37-101-0002,AQS,6,54,43,20
3/8/23,42,Ozone,West Johnston Co.,37-101-0002,AQS,2,42,15,24
3/9/23,44,Ozone,West Johnston Co.,37-101-0002,AQS,5,44,26,22
3/10/23,48,PM2.5,West Johnston Co.,37-101-0002,AQS,6,31,48,20
3/11/23,39,Ozone,West Johnston Co.,37-101-0002,AQS,5,39,15,8
3/12/23,29,Ozone,West Johnston Co.,37-101-0002,AQS,2,29,18,9
3/13/23,35,Ozone,West Johnston Co.,37-101-0002,AQS,3,35,11,8
3/14/23,42,Ozone,West Johnston Co.,37-101-0002,AQS,5,42,13,21
3/15/23,44,Ozone,West Johnston Co.,37-101-0002,AQS,5,44,11,30
3/16/23,49,Ozone,West Johnston Co.,37-101-0002,AQS,7,49,43,26
3/17/23,49,PM2.5,Triple Oak,37-183-0021,AQS,5,44,49,19
3/18/23,40,Ozone,Millbrook School,37-183-0014,AQS,3,40,16,10
3/19/23,42,Ozone,West Johnston Co.,37-101-0002,AQS,3,42,20,6
3/20/23,44,Ozone,West Johnston Co.,37-101-0002,AQS,2,44,21,23
3/21/23,47,Ozone,West Johnston Co.,37-101-0002,AQS,6,47,42,27
3/22/23,47,PM2.5,West Johnston Co.,37-101-0002,AQS,5,42,47,27
3/23/23,53,PM2.5,West Johnston Co.,37-101-0002,AQS,5,42,53,15
3/24/23,57,PM2.5,Triple Oak,37-183-0021,AQS,6,43,57,22
3/25/23,39,PM2.5,West Johnston Co.,37-101-0002,AQS,5,32,39,11
3/26/23,31,PM2.5,Millbrook School,37-183-0014,AQS,3,31,31,11
3/27/23,33,Ozone,West Johnston Co.,37-101-0002,AQS,5,33,31,15
3/28/23,44,Ozone,West Johnston Co.,37-101-0002,AQS,3,44,39,18
3/29/23,46,Ozone,West Johnston Co.,37-101-0002,AQS,3,46,23,18
3/30/23,51,Ozone,West Johnston Co.,37-101-0002,AQS,5,51,32,18
3/31/23,44,Ozone,West Johnston Co.,37-101-0002,AQS,5,44,37,25
4/1/23,44,Ozone,West Johnston Co.,37-101-0002,AirNow,3,44,32,5
4/2/23,44,Ozone,West Johnston Co.,37-101-0002,AirNow,3,44,15,18
4/3/23,45,Ozone,West Johnston Co.,37-101-0002,AirNow,5,45,29,21
4/4/23,46,Ozone,Millbrook School,37-183-0014,AirNow,5,46,40,19
4/5/23,57,PM2.5,Triple Oak,37-183-0021,AirNow,6,33,57,9
4/6/23,43,PM2.5,West Johnston Co.,37-101-0002,AirNow,5,29,43,11
4/7/23,34,Ozone,West Johnston Co.,37-101-0002,AirNow,3,34,22,6
4/8/23,41,Ozone,West Johnston Co.,37-101-0002,AirNow,2,41,19,6
4/9/23,44,Ozone,West Johnston Co.,37-101-0002,AirNow,2,44,21,4
4/10/23,47,Ozone,West Johnston Co.,37-101-0002,AirNow,2,47,28,17
4/11/23,51,Ozone,West Johnston Co.,37-101-0002,AirNow,5,51,39,21
4/12/23,64,Ozone,Millbrook School,37-183-0014,AirNow,5,64,44,30
4/13/23,52,PM2.5,Triple Oak,37-183-0021,AirNow,5,50,52,26
4/14/23,32,Ozone,West Johnston Co.,37-101-0002,AirNow,5,32,31,16
4/15/23,40,Ozone,West Johnston Co.,37-101-0002,AirNow,5,40,33,18
4/16/23,45,PM2.5,Triple Oak,37-183-0021,AirNow,6,37,45,16
4/17/23,49,Ozone,West Johnston Co.,37-101-0002,AirNow,3,49,22,18
4/18/23,61,Ozone,West Johnston Co.,37-101-0002,AirNow,5,61,30,23
4/19/23,80,Ozone,West Johnston Co.,37-101-0002,AirNow,6,80,54,31
4/20/23,77,Ozone,West Johnston Co.,37-101-0002,AirNow,6,77,58,29
4/21/23,80,Ozone,West Johnston Co.,37-101-0002,AirNow,5,80,53,27
4/22/23,38,Ozone,Millbrook School,37-183-0014,AirNow,3,38,28,8
4/23/23,45,Ozone,Millbrook School,37-183-0014,AirNow,3,45,25,13
4/24/23,42,Ozone,West Johnston Co.,37-101-0002,AirNow,3,42,27,13
4/25/23,45,Ozone,West Johnston Co.,37-101-0002,AirNow,3,45,40,17
4/26/23,48,Ozone,West Johnston Co.,37-101-0002,AirNow,3,48,39,17
4/27/23,35,Ozone,West Johnston Co.,37-101-0002,AirNow,3,35,33,9
4/28/23,35,Ozone,West Johnston Co.,37-101-0002,AirNow,3,35,21,14
4/29/23,35,Ozone,Millbrook School,37-183-0014,AirNow,5,35,32,10
4/30/23,35,Ozone,West Johnston Co.,37-101-0002,AirNow,3,35,30,9
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
5/2/23,50,Ozone,West Johnston Co.,37-101-0002,AirNow,.,50,20,.
5/3/23,41,Ozone,West Johnston Co.,37-101-0002,AirNow,.,41,23,.
5/4/23,42,Ozone,West Johnston Co.,37-101-0002,AirNow,.,42,21,.
5/5/23,49,Ozone,West Johnston Co.,37-101-0002,AirNow,.,49,34,.
5/6/23,58,Ozone,Millbrook School,37-183-0014,AirNow,.,58,45,.
5/7/23,44,Ozone,West Johnston Co.,37-101-0002,AirNow,.,44,43,.
5/8/23,54,Ozone,Millbrook School,37-183-0014,AirNow,.,54,35,.
5/9/23,54,Ozone,West Johnston Co.,37-101-0002,AirNow,.,54,43,.
5/10/23,47,Ozone,West Johnston Co.,37-101-0002,AirNow,.,47,35,.
5/11/23,51,Ozone,West Johnston Co.,37-101-0002,AirNow,.,51,46,.
5/12/23,61,Ozone,West Johnston Co.,37-101-0002,AirNow,.,61,46,.
5/13/23,56,PM2.5,Millbrook School,37-183-0014,AirNow,.,44,56,.
5/14/23,53,PM2.5,West Johnston Co.,37-101-0002,AirNow,.,44,53,.
5/15/23,49,PM2.5,Millbrook School,37-183-0014,AirNow,.,49,49,.
5/16/23,58,PM2.5,West Johnston Co.,37-101-0002,AirNow,.,44,58,.
5/17/23,48,Ozone,Millbrook School,37-183-0014,AirNow,.,48,37,.
5/18/23,49,Ozone,West Johnston Co.,37-101-0002,AirNow,.,49,35,.
5/19/23,33,Ozone,West Johnston Co.,37-101-0002,AirNow,.,33,30,.
5/20/23,38,Ozone,West Johnston Co.,37-101-0002,AirNow,.,38,30,.
5/21/23,62,PM2.5,Millbrook School,37-183-0014,AirNow,.,35,62,.
5/22/23,63,PM2.5,Millbrook School,37-183-0014,AirNow,.,49,63,.
5/23/23,57,PM2.5,Millbrook School,37-183-0014,AirNow,.,49,57,.
5/24/23,49,Ozone,Millbrook School,37-183-0014,AirNow,.,49,35,.
5/25/23,48,PM2.5,Millbrook School,37-183-0014,AirNow,.,44,48,.
5/26/23,42,Ozone,West Johnston Co.,37-101-0002,AirNow,.,42,20,.
5/27/23,35,Ozone,West Johnston Co.,37-101-0002,AirNow,.,35,28,.
5/28/23,32,Ozone,Millbrook School,37-183-0014,AirNow,.,32,12,.
5/29/23,23,PM2.5,West Johnston Co.,37-101-0002,AirNow,.,17,23,.
5/30/23,37,Ozone,West Johnston Co.,37-101-0002,AirNow,.,37,29,.
5/31/23,52,PM2.5,Millbrook School,37-183-0014,AirNow,.,35,52,.
6/1/23,41,PM2.5,Millbrook School,37-183-0014,AirNow,.,28,41,.
6/2/23,45,PM2.5,Millbrook School,37-183-0014,AirNow,.,33,45,.
6/3/23,58,Ozone,Millbrook School,37-183-0014,AirNow,.,58,50,.
6/4/23,44,PM2.5,Millbrook School,37-183-0014,AirNow,.,31,44,.
